Suomi,English
autosta ,from the car 
kunnia ,honor 
avain ,key 
eipä ,no 
hienosti ,finely 
vaihtaa ,change 
lähdössä ,on departure 
tekivät ,did 
sinäkö ,you 
kuolemaa ,death 
kuulen ,I can hear 
los ,los 
täytyi ,had to 
nimeltä ,by name 
tappamaan ,to kill 
mitkä ,what 
puolen ,side 
kuole ,die 
mistään ,anything 
yö ,night 
ääni ,sound 
alus ,vessel 
tuntenut ,felt 
puhelin ,phone 
voisitteko ,could you 
monia ,many 
odottanut ,waited 
saaneet ,received 
ajattelen ,I'm thinking 
jolloin ,when 
todellinen ,real 
matkaan ,on the way 
saatava ,balance 
moni ,multi 
ellet ,unless you 
taisin ,i guess 
vetoa ,bet 
kuolemaan ,to death 
tunsin ,i felt 
mitenkään ,in any way 
aamuna ,in the morning 
olisiko ,would 
tuntea ,feel 
jään ,ice 
kävin ,i visited 
setä ,uncle 
päästää ,let 
olevani ,that I am 
suojella ,protect 
ettemme ,that we don't 
com ,com 
taidat ,skills 
näyttävät ,seem 
puhui ,spoke 
syystä ,justly 
mielelläni ,with pleasure 
kiinnostunut ,interested 
kutsuu ,invites 
lahja ,gift 
menettää ,lose 
hemmetti ,damn it 
sellaisen ,such 
tulimme ,we came 
tämänkin ,this too 
nähneet ,have seen 
istua ,sit 
komentaja ,commander 
herran ,sir 
soitin ,player 
outo ,strange 
löydän ,i find 
pysäytä ,stop 
sanoivat ,they said 
kuuma ,hot 
kutsu ,call 
kuukauden ,month 
kiinnosta ,interested 
juhlat ,party 
tarkoittanut ,meant 
menevät ,are going 
Walter ,Walter 
ottanut ,taken 
annetaan ,is given 
kysyn ,I'm asking 
otamme ,we take 
muuttunut ,altered 
voiko ,can 
vauva ,baby 
tyttöä ,a girl 
kone ,machine 
suuren ,the big one 
viiden ,five 
lähetä ,close in 
kuolet ,you will die 
saatanan ,fucking 
missään ,anywhere 
omat ,own 
jerry ,Jerry 
kuvia ,pictures 
perillä ,in 
meneillään ,in progress 
heippa ,bye 
Eddie ,Eddie 
kuunnella ,listen 
huolissani ,worried 
palannut ,returned 
valkoinen ,white 
kohde ,target 
ruumis ,corpse 
elämäsi ,your life 
ajattelet ,you think 
väsynyt ,tired 
valmiita ,ready 
niillä ,with them 
väärä ,wrong 
muutakin ,more 
ampui ,shot 
parin ,couple 
hyppää ,jump 
aloitetaan ,let's begin 
pyysin ,I asked 
itsellesi ,to yourself 
aiheuttaa ,cause 
hyötyä ,put to account 
vastaus ,answer 
jatkakaa ,carry on 
kaikkialla ,everywhere 
tuokaa ,bring it 
vaatii ,requires 
pelottaa ,scare 
tajusin ,I realized 
esittää ,present 
väliin ,between 
maksan ,i pay 
rakkaus ,love 
tuletko ,are you coming 
tulehan ,Come on 
näemme ,we will see 
nick ,nick 
kuolleet ,dead 
maailmaa ,the world 
johonkin ,somewhere 
olo ,feeling 
pidämme ,we like 
juttuja ,things 
satuttaa ,hurt 
tapaa ,to meet 
laitan ,I will put 
punainen ,red 
poikasi ,your son 
muistaa ,remember 
vastata ,answer 
kenet ,who 
tahdo ,will 
peliä ,game 
huomannut ,noticed 
helposti ,easily 
kyytiin ,on 
ääliö ,jerk 
yhteys ,contact 
päällikkö ,master 
saakka ,until 
löytyi ,was found 
alhaalla ,down 
kanssamme ,with us 
lähdet ,you are leaving 
vastuussa ,accountable 
kovaa ,hard 
kertomaan ,to tell 
kuvan ,picture 
keksin ,i invented 
nimeä ,name 
perheeni ,my family 
kuolen ,I'm dying 
äitinsä ,his mother 
toivoa ,hope 
perheen ,family 
koulussa ,at school 
kuitenkaan ,however 
sijaan ,in exchange for 
suu ,mouth 
uskotko ,Do you believe 
usa ,U.S 
löysit ,you found 
pitääkö ,should 
illan ,of the evening 
apuasi ,your help 
avaimet ,the keys 
annoit ,you gave 
luokseni ,to me 
kannattaa ,support 
osaat ,you can 
vuoteen ,to a year 
itsekin ,another 
kirja ,book 
armeijan ,the army 
nosta ,raise 
hitaasti ,slowly 
yhtäkkiä ,suddenly 
nimen ,the name 
päivässä ,per day 
siten ,so 
otat ,you take 
juttua ,thing 
onnekas ,lucky 
oikean ,the right one 
tietävän ,to know 
hiton ,helluva 
keino ,means 
erään ,one 
tie ,road 
joudun ,i have to 
jätän ,I leave 
huomaa ,notice 
ylhäällä ,up 
etteivät ,that they don't 
kysyin ,I asked 
perään ,after 
oikealle ,right 
sanoinhan ,I said so 
tuntee ,feels 
heittää ,throw 
osan ,part 
avatkaa ,open up 
Chris ,Chris 
tekisin ,i would 
jessus ,Jesus 
oli ,was 
kersantti ,sergeant 
kivaa ,nice 
tommy ,Tommy 
tuomari ,judge 
huora ,whore 
muttei ,but no 
oppia ,learn 
koskee ,concerns 
mielestä ,with 
valitan ,I complain 
koulun ,the school 
potkut ,sack 
toiset ,other 
versionumero ,version number 
tunti ,hour 
Andy ,Andy 
ehkäpä ,perhaps 
saivat ,got 
yritämme ,we try 
richard ,richard 
pitkin ,along 
pahasti ,badly 
ryhmä ,group 
kolmas ,third 
jonnekin ,somewhere 
varokaa ,Watch out 
perässä ,after 
lasten ,junior 
olleen ,to have been 
ennenkin ,even before 
Jane ,Jane 
sotilas ,military 
sopimuksen ,contract 
jonain ,somehow 
sankari ,hero 
odotamme ,we are waiting 
riippuu ,depends 
dollarin ,dollar 
tulevan ,to come 
katosi ,disappeared 
alue ,area 
selvästi ,clearly 
ihanaa ,wonderful 
niihin ,to them 
Eric ,Eric 
-sta ,-from 
armeija ,army 
jumalauta ,oh god 
kiinnostaa ,interest 
tiesitkö ,Did you know 
vanhan ,the old one 
la ,la 
sanoisin ,i would say 
vau ,Wow 
ensimmäistä ,the first one 
vieläkään ,even now 
korjata ,fix 
olemmeko ,are we 
sydän ,heart 
paeta ,escape 
käsi ,hand 
vihaa ,hate 
puhelimessa ,on the telephone 
valot ,the lights 
liittyy ,is related 
sujuu ,it's going well 
tarkoitin ,i meant 
Robert ,Robert 
tulitte ,you came 
kenties ,perhaps 
lailla ,by law 
tappaja ,killer 
asetta ,weapon 
Claire ,Claire 
Larry ,Larry 
ison ,big 
avata ,open 
selvitä ,clarify 
huomio ,attention 
liikkuu ,moves 
opettaa ,teach 
lle ,for 
CIA ,CIA 
täydellistä ,perfect 
kokonaan ,wholly 
kate ,cover 
juotavaa ,something to drink 
keksi ,biscuit 
tosin ,indeed 
katsos ,you see 
asioista ,things 
tä ,this 
pystyy ,can 
kuolleita ,the dead 
hankkia ,acquire 
joilla ,with which 
sanaa ,word 
jatkuvasti ,continually 
vikaa ,fault 
kaupunkiin ,to the city 
minnekään ,nowhere 
suokaa ,swamp 
kanssanne ,with you 
hulluksi ,crazy 
vaatteet ,clothing 
pääsit ,you made it 
uskoo ,believes 
raskaana ,pregnant 
tältä ,like this 
kerroit ,you told 
al ,al 
miehesi ,your husband 
prosenttia ,percent 
kyseessä ,at issue 
mukaasi ,along with you 
kuntoon ,get fit 
työni ,my job 
kilometriä ,kilometers 
konstaapeli ,officer 
sinussa ,in you 
sairaalassa ,in the hospital 
tainnut ,stunned 
uudet ,the new ones 
ketkä ,who 
pakoon ,escape 
senaattori ,senator 
palveluksen ,service 
taistella ,fight 
kuvaa ,picture 
kävellä ,walk 
viikko ,week 
tavataan ,see you 
huolimatta ,despite 
ihmisille ,to people 
charles ,Charles 
will ,will 
minuutissa ,per minute 
liikkeelle ,to the movement 
tuollaista ,like that 
naisten ,of women 
pommi ,bomb 
kirjan ,the book 
emmekä ,neither do we 
taivas ,sky 
tekemässä ,doing 
ajat ,you drive 
saatana ,Satan 
Daniel ,Daniel 
kamu ,pal 
virhe ,error 
pulassa ,in trouble 
Dave ,Dave 
Rachel ,Rachel 
esitellä ,introduce 
jätkä ,jack 
lapseni ,my child 
lisa ,additional 
yrittävät ,are trying 
kahdesti ,twice 
toiselle ,to another 
kannata ,booze 
tarkalleen ,exactly 
lähelle ,close 
mahdollisuuden ,opportunity 
rakastat ,you love 
ruumiin ,body 
emmekö ,don't we 
aikoina ,times 
tuollainen ,that kind of 
vasemmalle ,left 
vaarassa ,wrong 
joudut ,you have to 
pelkkää ,just 
arvoinen ,worth 
tutkia ,explore 
ajoissa ,on time 
selviää ,will survive 
fiksu ,smart 
arvostan ,I appreciate 
vitut ,damn 
-ssa ,-in 
pudota ,drop 
tapaamme ,we will meet 
aseesi ,your weapon 
saatan ,I might 
täysi ,full 
tuolta ,from there 
muuttuu ,changes 
myydä ,sell 
lainkaan ,at all 
rakkautta ,love 
joista ,of which 
homman ,thing 
voitteko ,can you 
miesten ,men's 
erossa ,separated 
Martin ,Martin 
meiltä ,from us 
Amerikan ,America's 
jätin ,i left 
vaarallinen ,dangerous 
Mark ,Mark 
-ssä ,-in 
soittanut ,called 
muun ,other 
mulkku ,dick 
jaksa ,you can 
piru ,devil 
Pete ,Pete 
eivätkä ,and neither 
merkki ,make 
sellaisia ,such 
tullaan ,let's come 
ottamaan ,to take 
pientä ,small 
luulisin ,I fancy 
silmäsi ,your eyes 
Ryan ,Ryan 
kysymyksiä ,questions 
ammun ,i shoot 
lähetän ,I will send 
polttaa ,burn 
kuulit ,you heard 
-stä ,-from 
kaipaa ,miss 
etsii ,looking for 
tyhjä ,blank 
puhumme ,we talk 
vittuun ,damn 
vesi ,water 
muutkin ,others too 
tapoin ,i killed 
oleva ,existent 
useimmat ,most 
kadonnut ,lost 
puolestani ,for me 
prinsessa ,princess 
tosissani ,seriously 
useita ,several 
millään ,by any means 
virheen ,error 
seuraavan ,the next one 
tulemaan ,to come 
onnistuu ,will succeed 
vapaaksi ,free 
niissä ,in them 
huolehtia ,worry 
van ,old 
tyytyväinen ,pleased 
Carl ,Carl 
luin ,I read 
tajuatko ,Do you understand 
ensimmäisenä ,foremost 
lähtemään ,to leave 
william ,william 
panna ,put 
maksa ,liver 
Carter ,Carter 
sovi ,okay 
myöhään ,late 
niinhän ,that's right 
karkuun ,run away 
viimeiset ,the last ones 
sheriffi ,the sheriff 
pysyy ,remains 
lee ,Lee 
kokeilla ,try out 
saapuu ,arrives 
hereillä ,awake 
lupasin ,i promised 
saisin ,i would get 
kumpi ,which 
kutsun ,I invite 
ilo ,pleasure 
kimppuun ,attack 
erilainen ,different 
ostin ,i bought 
järjestää ,arrange 
homo ,gay 
tahdot ,you will 
ellen ,unless 
istumaan ,to sit down 
musiikkia ,music 
suurta ,big 
oi ,Oh 
kokeile ,give it a try 
tapaan ,in the manner of 
luvan ,permit 
aikaisin ,early 
paikasta ,from the place 
ruoka ,food 
eniten ,most 
viettää ,spend 
Arthur ,Arthur 
aluksen ,the ship 
äsken ,but now 
tarvita ,need 
tarjota ,offer 
löydät ,you will find 
näette ,you see 
kuolleen ,dead 
viedään ,let's take it 
Steve ,Steve 
rakastunut ,enamored 
vaihtoehtoja ,options 
de ,de 
sääntöjä ,rules 
merkitystä ,significance 
sata ,hundred 
teitte ,you did 
hoidetaan ,will be taken care of 
aavistustakaan ,no idea 
lue ,read 
nousee ,rises 
tyypin ,type 
harmi ,annoyance 
kasvaa ,grow 
sanat ,lyrics 
tavoin ,ways 
oh ,oh 
poikaa ,boy 
istukaa ,sit down 
tytär ,daughter 
lukenut ,read 
lopussa ,at the end 
dna ,dna 
miettiä ,think about 
vaimonsa ,his wife 
hengitä ,breathe 
tappavat ,are killing 
kamaa ,stuff 
huumeita ,drugs 
parhaat ,best 
voineet ,buttered 
rehellinen ,honest 
siskoni ,my sister 
samassa ,in the same 
Thomas ,Thomas 
kaupungista ,from the city 
elämänsä ,his life 
itsestäsi ,about yourself 
entäs ,how about 
puolestasi ,for you 
joulua ,Christmas 
silmällä ,with an eye 
pyhä ,holy 
meihin ,to us 
puhelu ,call 
perhettä ,family 
autoni ,my car 
näkyy ,can be seen 
pirun ,damn 
söpö ,cute 
asua ,live 
oikeaa ,the right one 
kyle ,Kyle 
toivoin ,i hoped 
ystävät ,friends 
säännöt ,code 
selviä ,survive 
kamalaa ,horrible 
varmistaa ,ensure 
upeaa ,wonderful 
menetin ,i lost 
tarvinnut ,needed 
haluaisit ,you would like 
menivät ,went 
kantaa ,carry 
kouluun ,to school 
tapaus ,case 
melkoinen ,quite a lot 
kaipaan ,i miss 
järjestyy ,will be arranged 
kahta ,two 
huoneeseen ,to the room 
tanssia ,dance 
kuolemme ,we die 
kas ,bro 
hankin ,i got 
toisiamme ,each other 
katsomassa ,watching 
luulevat ,they think 
pistä ,put 
vanhoja ,old ones 
paina ,press 
odottavat ,are waiting 
matt ,Matt 
miksen ,why not 
pään ,head 
komisario ,inspector 
murhaaja ,murderer 
kannattaisi ,would be worth it 
isi ,daddy 
päästävä ,to pass 
perkele ,Devil 
uskomaton ,incredible 
puhuimme ,we talked 
tällainen ,like 
yhdellä ,with one 
tavallinen ,usual 
aloita ,get started 
tärkeintä ,most important 
muistuttaa ,resemble 
sänkyyn ,to bed 
entinen ,former 
olikin ,it was 
hanki ,crust 
paljoa ,a lot 
alkavat ,are starting 
onnettomuus ,accident 
dean ,Dean 
Chloe ,Chloe 
huoneen ,room 
tarvitsevat ,need 
seurata ,follow 
typerys ,fool 
ymmärrät ,you understand 
otatko ,will you take 
tarinan ,the story 
kelpaa ,ok 
poistua ,exit 
etsit ,you are looking for 
maasta ,from the country 
verran ,about 
haisee ,stinks 
väittää ,claim 
seuratkaa ,follow 
juoda ,drink 
tää ,this 
minäkö ,me too 
kiireinen ,busy 
pystynyt ,able to 
Dan ,Dan 
viiniä ,wine 
rahoja ,money 
ehdi ,have time 
chuck ,Chuck 
alueella ,within the precincts of 
olet ,are 
elämään ,to life 
eivätkö ,don't they 
selväksi ,to be clear 
englantia ,English 
itselleni ,to myself 
komea ,handsome 
tutustua ,meet 
Kevin ,Kevin 
voima ,force 
muille ,to others 
mukanaan ,with him 
hengen ,spirit 
hitossa ,damn it 
mielenkiintoista ,interesting 
mahdollisimman ,as much as possible 
Kristus ,Christ 
joiden ,whose 
herrani ,my lord 
tunnissa ,per hour 
vuodessa ,per year 
puuttuu ,is missing 
aioin ,I was going to 
tapahdu ,happen 
nopea ,fast 
asun ,i live 
tapasimme ,we met 
Joey ,Joey 
jumissa ,stuck 
osaatko ,Can you 
Maria ,Mary 
viikossa ,per week 
valehtele ,lie 
matkan ,for 
häivytään ,let's fade away 
raha ,monetary 
siirtää ,transfer 
tapaaminen ,meeting 
ainut ,only 
teiltä ,from you 
osui ,hit 
kaverin ,a friend 
muistakaa ,remember 
päätös ,decision 
sekin ,too 
el ,e.g 
samanlainen ,similar 
kadulla ,in the street 
ihanko ,Absolutely 
naurettavaa ,ridiculous 
kilometrin ,kilometer 
presidentin ,presidential 
käteni ,my hand 
elokuva ,movie 
etsivät ,are looking for 
surkea ,puny 
miehelle ,for a man 
turvallista ,safe 
tulette ,you will come 
suljettu ,closed 
tarvitsetko ,Do you need 
henkeni ,my spirit 
lähtenyt ,left 
kiloa ,kilo 
minäpä ,me too 
ihmettä ,ever 
kuningatar ,queen 
vieressä ,next to 
keksiä ,invent 
pääsin ,i got 
tilaisuus ,opportunity 
tulleet ,have come 
aurinko ,sun 
pelaa ,plays 
valo ,light 
merkitsee ,means 
sovittu ,agreed 
etsikää ,look for 
tietääkö ,You know 
amerikkalainen ,American 
voimaa ,strength 
hemmetin ,damn it 
ed ,ed 
pyytänyt ,asked for 
kauas ,far 
aiomme ,we are going to 
voisimmeko ,could we 
puolelle ,to the side 
perhana ,deuce 
narttu ,female 
klo ,at 
varastaa ,steal 
ihmisistä ,about people 
teetä ,tea 
pahoja ,bad ones 
esimerkiksi ,for example 
sanottavaa ,something to say 
ammuttiin ,was shot 
reilua ,fair 
ammuttu ,shot dead 
tarvitsette ,you need 
mua ,me 
salainen ,secret 
henki ,spirit 
häipyä ,scat 
taalaa ,bucks 
tarkkaan ,precisely 
yhteyden ,connection 
bond ,bond 
liity ,join 
sanokaa ,tell me 
murha ,murder 
loppui ,ran out 
jäät ,you stay 
pieniä ,chop 
huomasin ,I noticed 
pärjää ,will be fine 
jättäkää ,leave it 
kasvot ,face 
pärjään ,I'll be fine 
käytti ,used 
rahani ,my money 
pelasti ,saved 
syyttää ,blame 
keskustella ,debate 
veri ,blood 
myy ,sell 
sotaa ,war 
tykkää ,likes 
odotin ,I waited 
oikealla ,right 
näyttäisi ,it would seem 
käykö ,is it okay 
katsot ,you look 
han ,he 
vanhempani ,my parents 
itsestään ,itself 
saattoi ,could 
laulaa ,sing 
vakavasti ,seriously 
yöllä ,at night 
ämmä ,woman 
jakaa ,share 
hyvänen ,a good one 
perusteella ,by 
muutti ,moved 
Don ,Don 
jonkinlainen ,some sort of 
kesti ,lasted 
vaatteita ,clothes 
vaiheessa ,stage 
omia ,appropriate 
Jason ,Jason 
menettänyt ,lost 
puhuvat ,are talking 
olitko ,Were you 
pelkästään ,only 
äijä ,old man 
turhaan ,in vain 
muru ,sugar 
vanhaa ,old 
sydämeni ,my heart 
Stan ,Stan 
juna ,train 
luotan ,I trust 
jones ,jones 
suostu ,agree 
suhde ,ratio 
unohtanut ,lost 
typerää ,silly 
rauhoittukaa ,calm down 
ta ,ta 
ympäriinsä ,about 
muualle ,elsewhere 
kyllästynyt ,bored 
vasten ,against 
miettinyt ,thought about 
näillä ,with these 
prinssi ,prince 
antamaan ,to give 
perille ,there 
tuleeko ,will 
mahdollisuutta ,possibility 
tilanteen ,the situation 
kiitollinen ,grateful 
yhtenä ,as one 
täällä ,here 
kaikkein ,very 
joutuu ,has to 
yritätkö ,Are you trying 
oppinut ,learned 
lähdettävä ,to leave 
red ,ed 
rahasta ,about money 
liikkumatta ,Freeze 
näköjään ,apparently 
Ted ,Ted 
kauniita ,beautiful 
tarjoan ,I offer 
kuolevat ,are dying 
katsoo ,is watching 
nuku ,sleep 
oikeutta ,right 
jotakuta ,someone 
menit ,you went 
tyttöjä ,girls 
otit ,you took 
murhasta ,of murder 
vaihtoehtoa ,option 
siinähän ,that's it 
odottamaan ,to wait 
hyvänsä ,whatever 
hirviö ,monster 
uskot ,you believe 
rikki ,sulfur 
satuta ,to hurt 
poliiseja ,police officers 
tuntemaan ,to feel 
maksoi ,paid 
veden ,of water 
kutsui ,called 
koti ,home 
nousta ,rise 
perheesi ,your family 
tyypit ,types 
Adam ,Adam 
mielestäsi ,in your opinion 
nostaa ,raise 
soittakaa ,please call 
Victor ,Victor 
hänhän ,he is 
lyödä ,hit 
alkanut ,started 
saitte ,you got 
ovet ,the doors 
rakasta ,love 
tarkistaa ,check 
heikko ,weak 
hänkin ,him too 
isä ,father 
Jackson ,Jackson 
luovuta ,give up 
toit ,you brought 
mikäli ,provided 
Yorkissa ,in York 
tarkasti ,closely 
ottaen ,taking 
vihollinen ,enemy 
annamme ,we give 
kamera ,camera 
joutua ,get 
alat ,you start 
luokseen ,over to 
Harvey ,Harvey 
hallitus ,government 
tännepäin ,towards here 
voisinko ,could i 
katsotaanpa ,Let's see 
voisiko ,could you 
pelastamaan ,to rescue 
pallo ,ball 
hassua ,funny 
välittää ,convey 
puhutte ,you talk 
eräänä ,as one 
jatkuu ,to be continued 
elämässä ,in life 
arvoista ,worth 
sääli ,shawl 
parissa ,among 
omistaa ,own 
katsoin ,I looked 
minunkin ,mine too 
vuorosi ,your turn 
opettaja ,teacher 
edestä ,from the front 
sika ,swine 
hallituksen ,of the government 
lähetin ,transmitter 
valtion ,state 
minullakin ,me too 
Scott ,Scott 
välttämättä ,necessarily 
Susan ,Susan 
käytän ,I use 
hyvästä ,of good 
etsitään ,looking for 
luulette ,you think 
rikas ,rich 
lihaa ,meat 
mehän ,me 
sua ,you 
jättänyt ,left 
olikaan ,it was 
tarkista ,check 
tarpeen ,necessary 
vapaana ,at liberty 
uutiset ,news 
aluksi ,at first 
homer ,Homer 
paikkoja ,places 
yksikään ,none 
ex ,ex 
yksinkertaista ,simple 
paikkansa ,its place 
huonoja ,bad ones 
paremmalta ,better 
mielessä ,in view 
samat ,the same 
sattui ,it hurt 
vihdoin ,finally 
osoittaa ,show 
käsky ,command 
vartijat ,guards 
toistaiseksi ,so far 
kuvittele ,Imagine 
näy ,appears 
työsi ,your work 
kengät ,boots 
sori ,sorry 
näkemään ,to see 
uhri ,victim 
amy ,Amy 
olipa ,whatever 
kuvat ,pictures 
kotoisin ,indigenous 
jatketaan ,let's continue 
jollekin ,to someone 
ihmeessä ,ever 
sara ,sedge 
tyttäresi ,your daughter 
täytynyt ,fulfilled 
näyttämään ,to show 
alta ,from below 
varalta ,against 
aloin ,I started 
tunnu ,feel 
saamaan ,to get 
lainata ,borrow 
mekin ,us too 
sanottu ,said 
kysyi ,asked 
hölmö ,silly 
katsohan ,Let's see 
moi ,Hi 
naida ,fuck 
koiran ,canine 
viimein ,at last 
pelkäät ,you are afraid 
parantaa ,improve 
kirjoitti ,wrote 
valtava ,huge 
määrä ,number 
mut ,but 
tapana ,habit 
jätit ,you left 
olutta ,beer 
taivaan ,celestial 
hänessä ,in him 
syönyt ,ate 
lordi ,lord 
mieleen ,mind 
seuraavat ,the following 
ikävää ,sad 
koe ,test 
älä ,do not 
metrin ,meter 
sininen ,blue 
aloitamme ,we begin 
kaverini ,my friend 
tarjosi ,offered 
henkilökohtaisesti ,personally 
henkiin ,to life 
tuhat ,thousand 
normaali ,normal 
tuhansia ,thousands of 
kuninkaan ,royal 
kissa ,cat 
menette ,you go 
huomaan ,I notice 
käsken ,I command 
väkeä ,people 
pelastit ,you saved 
olisitte ,you would be 
puhelimeen ,to the phone 
rankkaa ,tough 
yhteydessä ,in connection with 
sääntö ,rule 
koneen ,machine 
lupasit ,you promised 
yritetään ,let's try 
päättyy ,ends 
Phil ,Phil 
syyllinen ,guilty 
omasta ,of my own 
voisitte ,you could 
tavaraa ,stuff 
kuolleena ,dead 
kauheaa ,terrible 
löytäneet ,have found 
tappoivat ,killed 
loukkaantunut ,injured 
työskentelee ,is working 
valehtelija ,liar 
Emily ,Emily 
voihan ,I can 
tietäisi ,would know 
pelkuri ,coward 
pohjoiseen ,north 
sanoja ,words 
joissa ,where 
hallita ,control 
sodassa ,at war 
muistat ,you remember 
tapat ,you kill 
tahtoo ,wants to 
lakkaa ,cease 
etelä ,south 
asialle ,for that matter 
tekisit ,you would 
jaa ,ice 
seuraavana ,next 
ennemmin ,first 
käsin ,manually 
kuuntelen ,I'm listening 
todisteet ,proof 
tämähän ,this one 
pelin ,the game 
pidätetty ,prisoner 
simon ,simon 
myöntää ,grant 
saatat ,you might 
hommaa ,thing 
toisiaan ,each other 
oikeaan ,to the right 
loppua ,end 
sanoitte ,you said 
jospa ,if only 
pidit ,you liked 
joutui ,had to 
näkevät ,can see 
päätä ,head 
näissä ,in these 
taloon ,to the house 
huomioon ,into account 
käyttänyt ,used 
aamen ,Amen 
selvisi ,survived 
saako ,can 
suusi ,your mouth 
lucy ,Lucy 
neljän ,four 
ääntä ,voice 
st ,St 
oletan ,I suppose 
tervehdys ,greeting 
toimeen ,get along 
alice ,Alice 
puhdas ,clean 
palaamme ,we'll be back 
mrs ,mrs 
saapui ,arrived 
valmiit ,done 
sean ,Sean 
viisas ,wise 
vasen ,left 
kyydin ,I took a ride 
kirjoita ,write 
hoidamme ,we take care 
oikeuteen ,to court 
auttoi ,helped 
pidätte ,you like 
ajattelit ,you thought 
kohtalo ,destiny 
lähestyy ,approaches 
varsinkin ,especially 
rakkauden ,of love 
astetta ,degree 
kavereita ,friends 
kirjoitan ,I am writing 
henkeä ,breath 
lopetan ,I'll stop 
pahalta ,bad 
painaa ,press 
päältä ,off 
laura ,Laura 
henkensä ,his life 
joen ,the river 
valehtelet ,you are lying 
vihdoinkin ,finally 
kuulee ,hears 
ilmaa ,air 
alueen ,area 
huolissasi ,worried about you 
etsinyt ,searched for 
koodi ,code 
soikoon ,let it ring 
Marcus ,Marcus 
sammuta ,turn off 
käytetään ,is used 
pitkän ,long 
oikeuden ,right 
kuolivat ,died 
nimellä ,mark 
voisivat ,they could 
pahalla ,bad 
jäänyt ,remaining 
tutkin ,I investigated 
avuksi ,of use 
opin ,i learned 
veivät ,took 
muualla ,elsewhere 
onkaan ,it is 
yritys ,company 
kyttä ,cop 
palasi ,returned 
Brian ,Brian 
tapettiin ,was killed 
valitse ,choose 
voittaja ,winner 
pannaan ,let's put 
tyyppiä ,type 
sanotte ,you say 
liittyä ,be joined 
putosi ,fell 
kuussa ,in the month 
lex ,lex 
nytkö ,now? 
tehtiin ,was made 
enemmänkin ,even more 
nero ,genius 
varasti ,stole 
heihin ,to them 
sanomaan ,to say 
liikkeellä ,on the move 
vuosien ,years 
toistan ,I repeat 
pystytkö ,can you 
jalat ,legs 
minussa ,in me 
päättänyt ,decided 
sanoisi ,would say 
tieto ,information 
lähdin ,i left 
ikkunasta ,from the window 
saadaan ,is obtained 
turha ,useless 
aikoihin ,by 
väärää ,wrong 
erottaa ,distinguish 
normaalia ,normal 
kuolevan ,dying 
laitoin ,I put 
Roy ,Roy 
Edward ,Edward 
paperit ,papers 
omalla ,on my own 
yläkertaan ,upstairs 
Smith ,Smith 
seksikäs ,sexy 
isot ,big ones 
talosta ,from the house 
puhuit ,you spoke 
vanhemmat ,parents 
piilossa ,tucked away 
elämääni ,my life 
pienet ,small ones 
toimimaan ,to operate 
hyväksyä ,accept 
Bruce ,Bruce 
kerrallaan ,at a time 
kysymyksen ,the question 
niinkuin ,like 
siisti ,neat 
työskennellä ,work 
toiminut ,worked 
odotat ,you wait 
pääni ,my head 
jeff ,Jeff 
lyön ,I'm hitting 
km ,km 
jouduin ,I had to 
kulkee ,passes 
seuraan ,follow me 
täyttä ,full 
laskekaa ,count 
tarkka ,exact 
suo ,swamp 
sanaakaan ,not a word 
house ,house 
eiköhän ,I suppose so 
taistelu ,fight 
kuulehan ,Listen 
huomiota ,attention 
paskiaiset ,bastards 
hulluja ,crazy 
kadun ,street 
puhelun ,call 
hank ,project 
toisessa ,in the other 
laskea ,calculate 
puku ,suit 
ymmärtänyt ,understood 
toiseksi ,second 
aiotte ,you are going to 
yhdestä ,from one 
sataa ,rain 
ajoi ,drove 
muitakin ,others too 
peliin ,to the game 
huonoa ,bad 
toimivat ,work 
aivot ,brain 
voitti ,won 
mennäänkö ,shall we go 
pormestari ,mayor 
mahdollisesti ,possibly 
Yhdysvaltain ,of the United States 
elämästä ,of life 
York ,York 
yksinäinen ,lonely 
maksamaan ,to pay 
senttiä ,cents 
mentiin ,we went 
vaihtoehto ,alternative 
näimme ,we saw 
miljoonan ,million 
tärkein ,main 
tähti ,star 
viimeinkin ,Finally 
treffit ,date 
sokea ,blind 
jestas ,jeez 
yritit ,you tried 
syön ,i eat 
luoksesi ,to you 
poliisia ,the police 
valoa ,light 
luke ,Luke 
nätti ,pretty 
vartija ,guard 
ruma ,ugly 
kolmeen ,to three 
sanoiko ,Did he say 
kamala ,horrible 
kuulleet ,heard 
rakastin ,i loved 
ettette ,you don't 
vika ,fault 
miss ,miss 
kirjaa ,records 
räjähtää ,explode 
henkesi ,your life 
huolen ,worry 
kuumaa ,hot 
halusivat ,wanted to 
Marty ,Marty 
aikojen ,of the times 
kohtaa ,encounter 
of ,of 
odotetaan ,is expected 
näettekö ,You see 
oot ,you are 
oo ,yes 
tyhmää ,stupid 
osta ,buy 
todennäköisesti ,likely 
opetti ,taught 
juosta ,run 
kaikella ,with everything 
parhaan ,the best 
poikansa ,his son 
pahoittelen ,I'm sorry 
takiasi ,because of you 
työtäni ,my work 
parhaani ,my best 
kusessa ,in the shit 
taaksepäin ,backwards 
valinta ,selection 
välitän ,i care 
opit ,you learn 
elä ,live 
nukkuu ,is sleeping 
rakentaa ,build 
rauhaa ,peace 
vanki ,prisoner 
palvelus ,service 
onnittelut ,pat on the back 
valmistautukaa ,get ready 
kuuluisa ,renowned 
todellista ,real 
Fred ,Fred 
kysyy ,asks 
istuu ,sitting 
