Unnamed: 0,Suomi,English
1203,ikuisesti ,forever 
1204,bill ,bill 
1205,ensimmäisen ,the first one 
1206,pyydä ,ask for 
1207,jonkin ,something 
1208,lisäksi ,in addition 
1209,lapsen ,of the child 
1210,keskellä ,in the middle 
1211,pääsen ,i can 
1212,lukea ,read 
1213,kenenkään ,nobody 
1214,pystyt ,you can 
1215,aikoo ,will 
1216,liiku ,move 
1217,järkeä ,make sense 
1218,kuulitko ,Did you hear 
1219,jäi ,remained 
1220,paikkaan ,to the place 
1221,luojan ,the creator 
1222,kenelle ,to whom 
1223,vittua ,damn 
1224,ainoastaan ,only 
1225,kaupunki ,city 
1226,todellako ,Really 
1227,ray ,ray 
1228,parempaa ,better 
1229,minäkään ,me too 
1230,toin ,i brought 
1231,ihan ,quite 
1232,myöhäistä ,late 
1233,todellakaan ,indeed 
1234,pystyn ,i can 
1235,sanovat ,they say 
1236,seuraavaksi ,next 
1237,lähes ,nearly 
1238,kuva ,picture 
1239,maa ,country 
1240,kuolema ,death 
1241,itseään ,itself 
1242,näit ,you saw 
1243,Sarah ,Sarah 
1244,hiukan ,a little 
1245,lupaa ,promise 
1246,toi ,brought 
1247,suuntaan ,in the direction of 
1248,tavallaan ,kind of 
1249,yrittänyt ,tried 
1250,pyysi ,asked 
1251,pienen ,a small one 
1252,tilaa ,Vacancy 
1253,kova ,hard 
1254,saisinko ,could i 
1255,unohtaa ,forget 
1256,ethän ,you don't 
1257,vankilaan ,to prison 
1258,käymään ,to visit 
1259,näytti ,seemed 
1260,kirjoittaa ,write 
1261,luutnantti ,lieutenant 
1262,tosissasi ,seriously 
1263,naisia ,women 
1264,autan ,i will help 
1265,olevansa ,being 
1266,käske ,command 
1268,varovasti ,carefully 
1269,montako ,how many 
1270,professori ,professor 
1271,puolet ,half 
1272,paikassa ,in the place 
1273,ulkopuolella ,outside 
1274,henry ,henry 
1275,kesken ,between 
1276,nykyään ,today 
1277,mennyttä ,the past 
1278,puhuin ,i spoke 
1279,auttamaan ,to help 
1280,tunnetko ,You know 
1281,loput ,the rest 
1282,työ ,work 
1283,upea ,magnificent 
1284,äläkä ,and don't 
1285,vialla ,wrong 
1286,asiaan ,to the point 
1287,Danny ,Danny 
1288,unohdin ,i forgot 
1289,uusia ,renew 
1290,hengissä ,alive 
1291,todistaa ,evidence 
1292,tietoja ,information 
1293,valmista ,ready 
1294,paikalle ,to the place 
1295,isänsä ,his father 
1296,valitettavasti ,unfortunately 
1297,olisimme ,we would be 
1298,mieluummin ,rather 
1299,olitte ,you were 
1300,millaista ,what kind of 
1301,tieltä ,from the road 
1302,mutten ,but not 
1303,ihana ,wonderful 
1304,pysähdy ,stop 
1305,autossa ,in the car 
1306,tehkää ,please do 
1307,ihme ,wonder 
1308,seksiä ,sex 
1309,valita ,choose 
1310,välittömästi ,direct 
1311,luokse ,with 
1312,vitsi ,joke 
1313,niille ,them 
1314,sepä ,blacksmith 
1315,luulee ,thinks 
1316,helppo ,easy 
1317,naista ,woman 
1318,vedä ,Pull 
1319,silmät ,the eyes 
1320,toisella ,on the other 
1321,aseita ,weapons 
1322,maata ,lie 
1323,lopulta ,eventually 
1324,kiire ,hurry 
1325,tulemme ,we will come 
1326,päästäkää ,let's go 
1327,kiitti ,thank you 
1328,vaimosi ,your wife 
1329,kenellekään ,to anyone 
1330,riitä ,dispute 
1331,majuri ,major 
1332,löysi ,found 
1333,veljesi ,your brother 
1334,käski ,casque 
1335,käskin ,I ordered 
1336,saitko ,Did you get 
1337,kutsutaan ,is called 
1338,tarkoita ,mean 
1339,matka ,travel 
1340,vetää ,pull 
1341,yhdeksän ,nine 
1342,kuoleman ,deadly 
1343,hetkeksi ,for a while 
1344,huone ,room 
1345,poliisit ,the police officers 
1346,huolehdi ,take care 
1347,sana ,word 
1348,olevasi ,that you are 
1349,huoneessa ,in the room 
1350,matkaa ,trip 
1351,san ,say 
1352,Clark ,Clark 
1353,viimeisen ,the last one 
1354,pelkään ,I'm afraid 
1355,tiedot ,information 
1356,oikeus ,legal 
1357,yllätys ,surprise 
1358,viestin ,the message 
1359,varmaankin ,probably 
1360,todisteita ,evidence 
1361,tapasin ,i met 
1362,Mary ,Mary 
1363,löytänyt ,found 
1364,nukkua ,sleep 
1365,kaikilla ,everyone 
1366,kertokaa ,tell me 
1367,pysäyttää ,stop 
1368,billy ,Billy 
1369,näiden ,of these 
1370,menemään ,to go 
1371,typerä ,silly 
1372,päättää ,decide 
1373,autoa ,car 
1374,päässyt ,reached 
1375,olen ,I am 
1376,jep ,yep 
1377,tuhota ,destroy 
1378,loppuu ,ends 
1379,kaupungissa ,in town 
1380,kutsua ,call 
1381,tavannut ,met 
1382,bobby ,Bobby 
1383,hullua ,crazy 
1384,ollenkaan ,at all 
1385,johon ,to which 
1386,toiseen ,to another 
1387,poliisin ,the police 
1388,kaunista ,beautiful 
1389,hoida ,take care of 
1390,aikaisemmin ,earlier 
1391,vähemmän ,less 
1392,juo ,drink 
1393,löydämme ,we find 
1394,suhteen ,regarding 
1395,vahva ,strong 
1396,tulta ,Fire 
1397,siistiä ,clean 
1398,henkilö ,person 
1399,etsimme ,we are looking for 
1400,haluaisitko ,would you like 
1401,toimia ,act 
1402,etsivä ,detective 
1403,kiittää ,thank 
1404,valmiiksi ,ready 
1405,nälkä ,hunger 
1406,sairaalaan ,to the hospital 
1407,annat ,you give 
1408,poliisille ,to the police 
1409,tekevän ,doing 
1410,Jim ,Jim 
1411,lukee ,reads 
1412,mieti ,think 
1413,vankilassa ,inside 
1414,sodan ,of war 
1415,aseen ,the gun 
1416,tulivat ,came 
1417,onhan ,it is 
1418,tapahtua ,happen 
1419,kylmä ,cold 
1420,varaa ,reserve 
1421,aseet ,arms 
1422,johtuu ,due to 
1423,kerrot ,you tell 
1424,tuntui ,felt 
1425,syömään ,to eat 
1426,ehdottomasti ,absolutely 
1427,hakea ,seek 
1428,käänny ,turn around 
1429,sopiiko ,is it ok 
1430,itseäni ,myself 
1431,metriä ,meters 
1432,hyväksi ,for 
1433,vaarallista ,dangerous 
1434,sopimus ,agreement 
1435,tapoit ,you killed 
1436,lasta ,spatula 
1437,sulje ,bracket 
1438,lentää ,fly 
1439,kuvitella ,imagine 
1440,päiväys ,date 
1441,työn ,of work 
1442,mennessä ,by 
1443,talossa ,in the house 
1444,pitkälle ,far 
1445,samaan ,to the same 
1446,voidaan ,can be 
1447,tarkoitatko ,You mean 
1448,kunpa ,if only 
1449,kiirettä ,rush 
1450,toisin ,otherwise 
1451,poikki ,across 
1452,monet ,many 
1453,pidin ,holder 
1454,lyö ,hit 
1455,huonosti ,poorly 
1456,pelata ,play 
1457,nopeammin ,faster 
1458,pitämään ,to keep 
1459,autosta ,from the car 
1460,kunnia ,honor 
1461,avain ,key 
1462,eipä ,no 
1463,hienosti ,finely 
1464,vaihtaa ,change 
1465,lähdössä ,on departure 
1466,tekivät ,did 
1467,sinäkö ,you 
1468,kuolemaa ,death 
1469,kuulen ,I can hear 
1470,los ,los 
1471,täytyi ,had to 
1472,nimeltä ,by name 
1473,tappamaan ,to kill 
1474,mitkä ,what 
1475,puolen ,side 
1476,kuole ,die 
1477,mistään ,anything 
1478,yö ,night 
1479,ääni ,sound 
1480,alus ,vessel 
1481,tuntenut ,felt 
1482,puhelin ,phone 
1483,voisitteko ,could you 
1484,monia ,many 
1485,odottanut ,waited 
1486,saaneet ,received 
1487,ajattelen ,I'm thinking 
1488,jolloin ,when 
1489,todellinen ,real 
1490,matkaan ,on the way 
1491,saatava ,balance 
1492,moni ,multi 
1493,ellet ,unless you 
1494,taisin ,i guess 
1495,vetoa ,bet 
1496,kuolemaan ,to death 
1497,tunsin ,i felt 
1498,mitenkään ,in any way 
1499,aamuna ,in the morning 
1500,olisiko ,would 
1501,tuntea ,feel 
1502,jään ,ice 
1503,kävin ,i visited 
1504,setä ,uncle 
1505,päästää ,let 
1506,olevani ,that I am 
1507,suojella ,protect 
1508,ettemme ,that we don't 
1509,com ,com 
1510,taidat ,skills 
1511,näyttävät ,seem 
1512,puhui ,spoke 
1513,syystä ,justly 
1514,mielelläni ,with pleasure 
1515,kiinnostunut ,interested 
1516,kutsuu ,invites 
1517,lahja ,gift 
1518,menettää ,lose 
1519,hemmetti ,damn it 
1520,sellaisen ,such 
1521,tulimme ,we came 
1522,tämänkin ,this too 
1523,nähneet ,have seen 
1524,istua ,sit 
1525,komentaja ,commander 
1526,herran ,sir 
1527,soitin ,player 
1528,outo ,strange 
1529,löydän ,i find 
1530,pysäytä ,stop 
1531,sanoivat ,they said 
1532,kuuma ,hot 
1533,kutsu ,call 
1534,kuukauden ,month 
1535,kiinnosta ,interested 
1536,juhlat ,party 
1537,tarkoittanut ,meant 
1538,menevät ,are going 
1539,Walter ,Walter 
1540,ottanut ,taken 
1541,annetaan ,is given 
1542,kysyn ,I'm asking 
1543,otamme ,we take 
1544,muuttunut ,altered 
1545,voiko ,can 
1546,vauva ,baby 
1547,tyttöä ,a girl 
1548,kone ,machine 
1549,suuren ,the big one 
1550,viiden ,five 
1551,lähetä ,close in 
1552,kuolet ,you will die 
1553,saatanan ,fucking 
1554,missään ,anywhere 
1555,omat ,own 
1556,jerry ,Jerry 
1557,kuvia ,pictures 
1558,perillä ,in 
1559,meneillään ,in progress 
1560,heippa ,bye 
1561,Eddie ,Eddie 
1562,kuunnella ,listen 
1563,huolissani ,worried 
1564,palannut ,returned 
1565,valkoinen ,white 
1566,kohde ,target 
1567,ruumis ,corpse 
1568,elämäsi ,your life 
1569,ajattelet ,you think 
1570,väsynyt ,tired 
1571,valmiita ,ready 
1572,niillä ,with them 
1573,väärä ,wrong 
1574,muutakin ,more 
1575,ampui ,shot 
1576,parin ,couple 
1577,hyppää ,jump 
1578,aloitetaan ,let's begin 
1579,pyysin ,I asked 
1580,itsellesi ,to yourself 
1581,aiheuttaa ,cause 
1582,hyötyä ,put to account 
1583,vastaus ,answer 
1584,jatkakaa ,carry on 
1585,kaikkialla ,everywhere 
1586,tuokaa ,bring it 
1587,vaatii ,requires 
1588,pelottaa ,scare 
1589,tajusin ,I realized 
1590,esittää ,present 
1591,väliin ,between 
1592,maksan ,i pay 
1593,rakkaus ,love 
1594,tuletko ,are you coming 
1595,tulehan ,Come on 
1596,näemme ,we will see 
1597,nick ,nick 
1598,kuolleet ,dead 
1599,maailmaa ,the world 
1600,johonkin ,somewhere 
1601,olo ,feeling 
1602,pidämme ,we like 
1603,juttuja ,things 
1604,satuttaa ,hurt 
1605,tapaa ,to meet 
1606,laitan ,I will put 
1607,punainen ,red 
1608,poikasi ,your son 
1609,muistaa ,remember 
1610,vastata ,answer 
1611,kenet ,who 
1612,tahdo ,will 
1613,peliä ,game 
1614,huomannut ,noticed 
1615,helposti ,easily 
1616,kyytiin ,on 
1617,ääliö ,jerk 
1618,yhteys ,contact 
1619,päällikkö ,master 
1620,saakka ,until 
1621,löytyi ,was found 
1622,alhaalla ,down 
1623,kanssamme ,with us 
1624,lähdet ,you are leaving 
1625,vastuussa ,accountable 
1626,kovaa ,hard 
1627,kertomaan ,to tell 
1628,kuvan ,picture 
1629,keksin ,i invented 
1630,nimeä ,name 
1631,perheeni ,my family 
1632,kuolen ,I'm dying 
1633,äitinsä ,his mother 
1634,toivoa ,hope 
1635,perheen ,family 
1636,koulussa ,at school 
1637,kuitenkaan ,however 
1638,sijaan ,in exchange for 
1639,suu ,mouth 
1640,uskotko ,Do you believe 
1641,usa ,U.S 
1642,löysit ,you found 
1643,pitääkö ,should 
1644,illan ,of the evening 
1645,apuasi ,your help 
1646,avaimet ,the keys 
1647,annoit ,you gave 
1648,luokseni ,to me 
1649,kannattaa ,support 
1650,osaat ,you can 
1651,vuoteen ,to a year 
1652,itsekin ,another 
1653,kirja ,book 
1654,armeijan ,the army 
1655,nosta ,raise 
1656,hitaasti ,slowly 
1657,yhtäkkiä ,suddenly 
1658,nimen ,the name 
1659,päivässä ,per day 
1660,siten ,so 
1661,otat ,you take 
1662,juttua ,thing 
1663,onnekas ,lucky 
1664,oikean ,the right one 
1665,tietävän ,to know 
1666,hiton ,helluva 
1667,keino ,means 
1668,erään ,one 
1669,tie ,road 
1670,joudun ,i have to 
1671,jätän ,I leave 
1672,huomaa ,notice 
1673,ylhäällä ,up 
1674,etteivät ,that they don't 
1675,kysyin ,I asked 
1676,perään ,after 
1677,oikealle ,right 
1678,sanoinhan ,I said so 
1679,tuntee ,feels 
1680,heittää ,throw 
1681,osan ,part 
1682,avatkaa ,open up 
1683,Chris ,Chris 
1684,tekisin ,i would 
1685,jessus ,Jesus 
1686,oli ,was 
1687,kersantti ,sergeant 
1688,kivaa ,nice 
1689,tommy ,Tommy 
1690,tuomari ,judge 
1691,huora ,whore 
1692,muttei ,but no 
1693,oppia ,learn 
1694,koskee ,concerns 
1695,mielestä ,with 
1696,valitan ,I complain 
1697,koulun ,the school 
1698,potkut ,sack 
1699,toiset ,other 
1700,versionumero ,version number 
1701,tunti ,hour 
1702,Andy ,Andy 
1703,ehkäpä ,perhaps 
1704,saivat ,got 
1705,yritämme ,we try 
1706,richard ,richard 
1707,pitkin ,along 
1708,pahasti ,badly 
1709,ryhmä ,group 
1710,kolmas ,third 
1711,jonnekin ,somewhere 
1712,varokaa ,Watch out 
1713,perässä ,after 
1714,lasten ,junior 
1715,olleen ,to have been 
1716,ennenkin ,even before 
1717,Jane ,Jane 
1718,sotilas ,military 
1719,sopimuksen ,contract 
1720,jonain ,somehow 
1721,sankari ,hero 
1722,odotamme ,we are waiting 
1723,riippuu ,depends 
1724,dollarin ,dollar 
1725,tulevan ,to come 
1726,katosi ,disappeared 
1727,alue ,area 
1728,selvästi ,clearly 
1729,ihanaa ,wonderful 
1730,niihin ,to them 
1731,Eric ,Eric 
1732,-sta ,-from 
1733,armeija ,army 
1734,jumalauta ,oh god 
1735,kiinnostaa ,interest 
1736,tiesitkö ,Did you know 
1737,vanhan ,the old one 
1738,la ,la 
1739,sanoisin ,i would say 
1740,vau ,Wow 
1741,ensimmäistä ,the first one 
1742,vieläkään ,even now 
1743,korjata ,fix 
1744,olemmeko ,are we 
1745,sydän ,heart 
1746,paeta ,escape 
1747,käsi ,hand 
1748,vihaa ,hate 
1749,puhelimessa ,on the telephone 
1750,valot ,the lights 
1751,liittyy ,is related 
1752,sujuu ,it's going well 
1753,tarkoitin ,i meant 
1754,Robert ,Robert 
1755,tulitte ,you came 
1756,kenties ,perhaps 
1757,lailla ,by law 
1758,tappaja ,killer 
1759,asetta ,weapon 
1760,Claire ,Claire 
1761,Larry ,Larry 
1762,ison ,big 
1763,avata ,open 
1764,selvitä ,clarify 
1765,huomio ,attention 
1766,liikkuu ,moves 
1767,opettaa ,teach 
1768,lle ,for 
1769,CIA ,CIA 
1770,täydellistä ,perfect 
1771,kokonaan ,wholly 
1772,kate ,cover 
1773,juotavaa ,something to drink 
1774,keksi ,biscuit 
1775,tosin ,indeed 
1776,katsos ,you see 
1777,asioista ,things 
1778,tä ,this 
1779,pystyy ,can 
1780,kuolleita ,the dead 
1781,hankkia ,acquire 
1782,joilla ,with which 
1783,sanaa ,word 
1784,jatkuvasti ,continually 
1785,vikaa ,fault 
1786,kaupunkiin ,to the city 
1787,minnekään ,nowhere 
1788,suokaa ,swamp 
1789,kanssanne ,with you 
1790,hulluksi ,crazy 
1791,vaatteet ,clothing 
1792,pääsit ,you made it 
1793,uskoo ,believes 
1794,raskaana ,pregnant 
1795,tältä ,like this 
1796,kerroit ,you told 
1797,al ,al 
1798,miehesi ,your husband 
1799,prosenttia ,percent 
1800,kyseessä ,at issue 
1801,mukaasi ,along with you 
1802,kuntoon ,get fit 
1803,työni ,my job 
1804,kilometriä ,kilometers 
1805,konstaapeli ,officer 
1806,sinussa ,in you 
1807,sairaalassa ,in the hospital 
1808,tainnut ,stunned 
1809,uudet ,the new ones 
1810,ketkä ,who 
1811,pakoon ,escape 
1812,senaattori ,senator 
1813,palveluksen ,service 
1814,taistella ,fight 
1815,kuvaa ,picture 
1816,kävellä ,walk 
1817,viikko ,week 
1818,tavataan ,see you 
1819,huolimatta ,despite 
1820,ihmisille ,to people 
1821,charles ,Charles 
1822,will ,will 
1823,minuutissa ,per minute 
1824,liikkeelle ,to the movement 
1825,tuollaista ,like that 
1826,naisten ,of women 
1827,pommi ,bomb 
1828,kirjan ,the book 
1829,emmekä ,neither do we 
1830,taivas ,sky 
1831,tekemässä ,doing 
1832,ajat ,you drive 
1833,saatana ,Satan 
1834,Daniel ,Daniel 
1835,kamu ,pal 
1836,virhe ,error 
1837,pulassa ,in trouble 
1838,Dave ,Dave 
1839,Rachel ,Rachel 
1840,esitellä ,introduce 
1841,jätkä ,jack 
1842,lapseni ,my child 
1843,lisa ,additional 
1844,yrittävät ,are trying 
1845,kahdesti ,twice 
1846,toiselle ,to another 
1847,kannata ,booze 
1848,tarkalleen ,exactly 
1849,lähelle ,close 
1850,mahdollisuuden ,opportunity 
1851,rakastat ,you love 
1852,ruumiin ,body 
1853,emmekö ,don't we 
1854,aikoina ,times 
1855,tuollainen ,that kind of 
1856,vasemmalle ,left 
1857,vaarassa ,wrong 
1858,joudut ,you have to 
1859,pelkkää ,just 
1860,arvoinen ,worth 
1861,tutkia ,explore 
1862,ajoissa ,on time 
1863,selviää ,will survive 
1864,fiksu ,smart 
1865,arvostan ,I appreciate 
1866,vitut ,damn 
1867,-ssa ,-in 
1868,pudota ,drop 
1869,tapaamme ,we will meet 
1870,aseesi ,your weapon 
1871,saatan ,I might 
1872,täysi ,full 
1873,tuolta ,from there 
1874,muuttuu ,changes 
1875,myydä ,sell 
1876,lainkaan ,at all 
1877,rakkautta ,love 
1878,joista ,of which 
1879,homman ,thing 
1880,voitteko ,can you 
1881,miesten ,men's 
1882,erossa ,separated 
1883,Martin ,Martin 
1884,meiltä ,from us 
1885,Amerikan ,America's 
1886,jätin ,i left 
1887,vaarallinen ,dangerous 
1888,Mark ,Mark 
1889,-ssä ,-in 
1890,soittanut ,called 
1891,muun ,other 
1892,mulkku ,dick 
1893,jaksa ,you can 
1894,piru ,devil 
1895,Pete ,Pete 
1896,eivätkä ,and neither 
1897,merkki ,make 
1898,sellaisia ,such 
1899,tullaan ,let's come 
1900,ottamaan ,to take 
1901,pientä ,small 
1902,luulisin ,I fancy 
1903,silmäsi ,your eyes 
1904,Ryan ,Ryan 
1905,kysymyksiä ,questions 
1906,ammun ,i shoot 
1907,lähetän ,I will send 
1908,polttaa ,burn 
1909,kuulit ,you heard 
1910,-stä ,-from 
1911,kaipaa ,miss 
1912,etsii ,looking for 
1913,tyhjä ,blank 
1914,puhumme ,we talk 
1915,vittuun ,damn 
1916,vesi ,water 
1917,muutkin ,others too 
1918,tapoin ,i killed 
1919,oleva ,existent 
1920,useimmat ,most 
1921,kadonnut ,lost 
1922,puolestani ,for me 
1923,prinsessa ,princess 
1924,tosissani ,seriously 
1925,useita ,several 
1926,millään ,by any means 
1927,virheen ,error 
1928,seuraavan ,the next one 
1929,tulemaan ,to come 
1930,onnistuu ,will succeed 
1931,vapaaksi ,free 
1932,niissä ,in them 
1933,huolehtia ,worry 
1934,van ,old 
1935,tyytyväinen ,pleased 
1936,Carl ,Carl 
1937,luin ,I read 
1938,tajuatko ,Do you understand 
1939,ensimmäisenä ,foremost 
1940,lähtemään ,to leave 
1941,william ,william 
1942,panna ,put 
1943,maksa ,liver 
1944,Carter ,Carter 
1945,sovi ,okay 
1946,myöhään ,late 
1947,niinhän ,that's right 
1948,karkuun ,run away 
1949,viimeiset ,the last ones 
1950,sheriffi ,the sheriff 
1951,pysyy ,remains 
1952,lee ,Lee 
1953,kokeilla ,try out 
1954,saapuu ,arrives 
1955,hereillä ,awake 
1956,lupasin ,i promised 
1957,saisin ,i would get 
1958,kumpi ,which 
1959,kutsun ,I invite 
1960,ilo ,pleasure 
1961,kimppuun ,attack 
1962,erilainen ,different 
1963,ostin ,i bought 
1964,järjestää ,arrange 
1965,homo ,gay 
1966,tahdot ,you will 
1967,ellen ,unless 
1968,istumaan ,to sit down 
1969,musiikkia ,music 
1970,suurta ,big 
1971,oi ,Oh 
1972,kokeile ,give it a try 
1973,tapaan ,in the manner of 
1974,luvan ,permit 
1975,aikaisin ,early 
1976,paikasta ,from the place 
1977,ruoka ,food 
1978,eniten ,most 
1979,viettää ,spend 
1980,Arthur ,Arthur 
1981,aluksen ,the ship 
1982,äsken ,but now 
1983,tarvita ,need 
1984,tarjota ,offer 
1985,löydät ,you will find 
1986,näette ,you see 
1988,viedään ,let's take it 
1989,Steve ,Steve 
1990,rakastunut ,enamored 
1991,vaihtoehtoja ,options 
1992,de ,de 
1993,sääntöjä ,rules 
1994,merkitystä ,significance 
1995,sata ,hundred 
1996,teitte ,you did 
1997,hoidetaan ,will be taken care of 
1998,aavistustakaan ,no idea 
1999,lue ,read 
2000,nousee ,rises 
2001,tyypin ,type 
2002,harmi ,annoyance 
2003,kasvaa ,grow 
2004,sanat ,lyrics 
2005,tavoin ,ways 
2006,oh ,oh 
2007,poikaa ,boy 
2008,istukaa ,sit down 
2009,tytär ,daughter 
2010,lukenut ,read 
2011,lopussa ,at the end 
2012,dna ,dna 
2013,miettiä ,think about 
2014,vaimonsa ,his wife 
2015,hengitä ,breathe 
2016,tappavat ,are killing 
2017,kamaa ,stuff 
2018,huumeita ,drugs 
2019,parhaat ,best 
2020,voineet ,buttered 
2021,rehellinen ,honest 
2022,siskoni ,my sister 
2023,samassa ,in the same 
2024,Thomas ,Thomas 
2025,kaupungista ,from the city 
2026,elämänsä ,his life 
2027,itsestäsi ,about yourself 
2028,entäs ,how about 
2029,puolestasi ,for you 
2030,joulua ,Christmas 
2031,silmällä ,with an eye 
2032,pyhä ,holy 
2033,meihin ,to us 
2034,puhelu ,call 
2035,perhettä ,family 
2036,autoni ,my car 
2037,näkyy ,can be seen 
2038,pirun ,damn 
2039,söpö ,cute 
2040,asua ,live 
2041,oikeaa ,the right one 
2042,kyle ,Kyle 
2043,toivoin ,i hoped 
2044,ystävät ,friends 
2045,säännöt ,code 
2046,selviä ,survive 
2047,kamalaa ,horrible 
2048,varmistaa ,ensure 
2049,upeaa ,wonderful 
2050,menetin ,i lost 
2051,tarvinnut ,needed 
2052,haluaisit ,you would like 
2053,menivät ,went 
2054,kantaa ,carry 
2055,kouluun ,to school 
2056,tapaus ,case 
2057,melkoinen ,quite a lot 
2058,kaipaan ,i miss 
2059,järjestyy ,will be arranged 
2060,kahta ,two 
2061,huoneeseen ,to the room 
2062,tanssia ,dance 
2063,kuolemme ,we die 
2064,kas ,bro 
2065,hankin ,i got 
2066,toisiamme ,each other 
2067,katsomassa ,watching 
2068,luulevat ,they think 
2070,vanhoja ,old ones 
2071,paina ,press 
2072,odottavat ,are waiting 
2073,matt ,Matt 
2074,miksen ,why not 
2075,pään ,head 
2076,komisario ,inspector 
2077,murhaaja ,murderer 
2078,kannattaisi ,would be worth it 
2079,isi ,daddy 
2080,päästävä ,to pass 
2081,perkele ,Devil 
2082,uskomaton ,incredible 
2083,puhuimme ,we talked 
2084,tällainen ,like 
2085,yhdellä ,with one 
2086,tavallinen ,usual 
2087,aloita ,get started 
2088,tärkeintä ,most important 
2089,muistuttaa ,resemble 
2090,sänkyyn ,to bed 
2091,entinen ,former 
2092,olikin ,it was 
2093,hanki ,crust 
2094,paljoa ,a lot 
2095,alkavat ,are starting 
2096,onnettomuus ,accident 
2097,dean ,Dean 
2098,Chloe ,Chloe 
2099,huoneen ,room 
2100,tarvitsevat ,need 
2101,seurata ,follow 
2102,typerys ,fool 
2103,ymmärrät ,you understand 
2104,otatko ,will you take 
2105,tarinan ,the story 
2106,kelpaa ,ok 
2107,poistua ,exit 
2108,etsit ,you are looking for 
2109,maasta ,from the country 
2110,verran ,about 
2111,haisee ,stinks 
2112,väittää ,claim 
2113,seuratkaa ,follow 
2114,juoda ,drink 
2115,tää ,this 
2116,minäkö ,me too 
2117,kiireinen ,busy 
2118,pystynyt ,able to 
2119,Dan ,Dan 
2120,viiniä ,wine 
2121,rahoja ,money 
2122,ehdi ,have time 
2123,chuck ,Chuck 
2124,alueella ,within the precincts of 
2125,olet ,are 
2126,elämään ,to life 
2127,eivätkö ,don't they 
2128,selväksi ,to be clear 
2129,englantia ,English 
2130,itselleni ,to myself 
2131,komea ,handsome 
2132,tutustua ,meet 
2133,Kevin ,Kevin 
2134,voima ,force 
2135,muille ,to others 
2136,mukanaan ,with him 
2137,hengen ,spirit 
2138,hitossa ,damn it 
2139,mielenkiintoista ,interesting 
2140,mahdollisimman ,as much as possible 
2141,Kristus ,Christ 
2142,joiden ,whose 
2143,herrani ,my lord 
2144,tunnissa ,per hour 
2145,vuodessa ,per year 
2146,puuttuu ,is missing 
2147,aioin ,I was going to 
2148,tapahdu ,happen 
2149,nopea ,fast 
2150,asun ,i live 
2151,tapasimme ,we met 
2152,Joey ,Joey 
2153,jumissa ,stuck 
2154,osaatko ,Can you 
2155,Maria ,Mary 
2156,viikossa ,per week 
2157,valehtele ,lie 
2158,matkan ,for 
2159,häivytään ,let's fade away 
2160,raha ,monetary 
2161,siirtää ,transfer 
2162,tapaaminen ,meeting 
2163,ainut ,only 
2164,teiltä ,from you 
2165,osui ,hit 
2166,kaverin ,a friend 
2167,muistakaa ,remember 
2168,päätös ,decision 
2169,sekin ,too 
2170,el ,e.g 
2171,samanlainen ,similar 
2172,kadulla ,in the street 
2173,ihanko ,Absolutely 
2174,naurettavaa ,ridiculous 
2175,kilometrin ,kilometer 
2176,presidentin ,presidential 
2177,käteni ,my hand 
2178,elokuva ,movie 
2179,etsivät ,are looking for 
2180,surkea ,puny 
2181,miehelle ,for a man 
2182,turvallista ,safe 
2183,tulette ,you will come 
2184,suljettu ,closed 
2185,tarvitsetko ,Do you need 
2186,henkeni ,my spirit 
2187,lähtenyt ,left 
2188,kiloa ,kilo 
2189,minäpä ,me too 
2190,ihmettä ,ever 
2191,kuningatar ,queen 
2192,vieressä ,next to 
2193,keksiä ,invent 
2194,pääsin ,i got 
2195,tilaisuus ,opportunity 
2196,tulleet ,have come 
2197,aurinko ,sun 
2198,pelaa ,plays 
2199,valo ,light 
2200,merkitsee ,means 
2201,sovittu ,agreed 
2202,etsikää ,look for 
2203,tietääkö ,You know 
2204,amerikkalainen ,American 
2205,voimaa ,strength 
2206,hemmetin ,damn it 
2207,ed ,ed 
2208,pyytänyt ,asked for 
2209,kauas ,far 
2210,aiomme ,we are going to 
2211,voisimmeko ,could we 
2212,puolelle ,to the side 
2213,perhana ,deuce 
2214,narttu ,female 
2215,klo ,at 
2216,varastaa ,steal 
2217,ihmisistä ,about people 
2218,teetä ,tea 
2219,pahoja ,bad ones 
2220,esimerkiksi ,for example 
2221,sanottavaa ,something to say 
2222,ammuttiin ,was shot 
2223,reilua ,fair 
2224,ammuttu ,shot dead 
2225,tarvitsette ,you need 
2226,mua ,me 
2227,salainen ,secret 
2228,henki ,spirit 
2229,häipyä ,scat 
2230,taalaa ,bucks 
2231,tarkkaan ,precisely 
2232,yhteyden ,connection 
2233,bond ,bond 
2234,liity ,join 
2235,sanokaa ,tell me 
2236,murha ,murder 
2237,loppui ,ran out 
2238,jäät ,you stay 
2239,pieniä ,chop 
2240,huomasin ,I noticed 
2241,pärjää ,will be fine 
2242,jättäkää ,leave it 
2243,kasvot ,face 
2244,pärjään ,I'll be fine 
2245,käytti ,used 
2246,rahani ,my money 
2247,pelasti ,saved 
2248,syyttää ,blame 
2249,keskustella ,debate 
2250,veri ,blood 
2251,myy ,sell 
2252,sotaa ,war 
2253,tykkää ,likes 
2254,odotin ,I waited 
2255,oikealla ,right 
2256,näyttäisi ,it would seem 
2257,käykö ,is it okay 
2258,katsot ,you look 
2259,han ,he 
2260,vanhempani ,my parents 
2261,itsestään ,itself 
